,MD,CDB,AFS,DL,PX,JHD,HC,APD
System,1,1,1,1,1,1,1,1
NORM_AVG,0.625,0.276,0.132,1.695,0.891,1.129,0.839,0.167
NORM_STDDEV,1.218,0.69,0.436,2.322,1.573,1.6,1.409,0.373
NORM_MAX,4,3,2,14,7,12,8,1
NORM_TOTAL,20,8,21,161,147,253,78,11
NOF_AVG,2.031,1.69,2.314,2.021,4.612,1.705,7.441,5.909
NOF_STDDEV,1.811,2.167,5.158,2.575,11.173,2.34,8.711,7.507
NOF_MAX,6,8,53,15,99,17,49,32
NOF_TOTAL,65,49,368,192,761,382,692,390
NSC_AVG,0.344,2.828,0.428,0.758,0.206,0.656,0.247,0.106
NSC_STDDEV,0.852,8.12,4.2,1.463,0.683,2.626,0.888,0.606
NSC_MAX,4,43,53,8,5,26,5,4
NSC_TOTAL,11,82,68,72,34,147,23,7
NOC_AVG,6.4,7.25,6.913,7.308,5.5,28,46.5,66
NOC_STDDEV,3.666,2.861,10.709,6.293,5.584,24.91,21.5,0
NOC_MAX,13,12,53,22,22,84,68,66
NOC_TOTAL,32,29,159,95,165,224,93,66
MLOC_AVG,3.637,9.956,8.451,4.407,14.508,4.359,7.832,9.812
MLOC_STDDEV,5.067,20.489,16.309,6.163,40.436,6.948,14.746,21.463
MLOC_MAX,41,124,155,50,607,100,171,199
MLOC_TOTAL,702,1812,8552,4812,28712,8526,10448,6162
NOM_AVG,5.938,6.034,5.767,10.811,11.067,8.397,14.29,9.424
NOM_STDDEV,4.841,5.379,10.75,13.272,12.058,10.516,14.203,9.634
NOM_MAX,26,20,105,94,88,72,83,43
NOM_TOTAL,190,175,917,1027,1826,1881,1329,622
NBD_AVG,1.238,1.549,1.506,1.221,1.491,1.358,1.423,1.42
NBD_STDDEV,0.572,1.041,0.906,0.601,1.067,0.696,0.817,0.855
NBD_MAX,4,5,8,6,12,5,5,7
DIT_AVG,1.969,1.586,1.692,3.663,2.406,2.406,3.161,2.394
DIT_STDDEV,1.425,0.81,0.824,1.745,2.003,1.452,1.602,1.969
DIT_MAX,6,3,5,7,7,8,5,6
NOI_AVG,3.4,0,1.696,1.769,0.3,4.125,3.5,0
NOI_STDDEV,4.224,0,3.939,5.086,0.971,5.988,1.5,0
NOI_MAX,11,0,19,19,5,18,5,0
NOI_TOTAL,17,0,39,23,9,33,7,0
VG_AVG,1.342,2.187,2.105,1.573,2.657,1.627,2.341,2.854
VG_STDDEV,0.844,2.987,2.726,1.312,5.19,1.678,3.405,4.59
VG_MAX,6,26,32,13,126,38,43,41
RMI_AVG,0.714,0.708,0.465,0.388,0.42,0.624,0.793,1
RMI_STDDEV,0.186,0.184,0.278,0.2,0.241,0.316,0.207,0
RMI_MAX,1,1,0.981,0.846,0.889,1,1,1
PAR_AVG,1.197,0.725,1.062,1.013,0.956,0.972,0.871,0.957
PAR_STDDEV,1.049,0.859,1.305,1.121,1.147,1.099,1.164,1.12
PAR_MAX,4,5,11,8,9,8,8,7
LCOM_AVG,0.321,0.245,0.204,0.241,0.36,0.243,0.518,0.492
LCOM_STDDEV,0.359,0.329,0.334,0.316,0.378,0.347,0.353,0.406
LCOM_MAX,1,0.883,1.177,0.941,0.965,1.5,0.953,1
CE_AVG,8.8,6.75,8.739,9.077,5.267,24,43.5,40
CE_STDDEV,3.655,3.345,11.425,7.054,5.341,17.4,16.5,0
CE_MAX,13,12,53,22,23,56,60,40
RMD_AVG,0.21,0.292,0.33,0.462,0.511,0.206,0.199,0.015
RMD_STDDEV,0.079,0.184,0.199,0.262,0.283,0.221,0.103,0
RMD_MAX,0.286,0.5,0.75,0.988,0.875,0.6,0.302,0.015
NSM_AVG,0.094,0.241,0.597,0.684,0.927,0.335,0.054,0.091
NSM_STDDEV,0.291,0.567,2.379,4.163,3.907,1.595,0.269,0.417
NSM_MAX,1,2,17,40,35,16,2,3
NSM_TOTAL,3,7,95,65,153,75,5,6
RMA_AVG,0.34,0,0.224,0.167,0.07,0.179,0.104,0.015
RMA_STDDEV,0.302,0,0.272,0.261,0.16,0.255,0.008,0
RMA_MAX,0.846,0,1,0.905,0.667,0.818,0.111,0.015
SIX_AVG,0.268,0.129,0.089,0.803,0.461,0.505,0.279,0.179
SIX_STDDEV,0.699,0.366,0.412,1.148,0.973,0.641,0.651,0.525
SIX_MAX,3.6,1.5,3,7,4,3,5,2.5
WMC_AVG,8.094,13.724,13.396,18.084,31.867,14.205,33.581,27.152
WMC_STDDEV,6.232,19.102,17.041,24.542,53.579,19.979,51.015,38.433
WMC_MAX,34,66,118,171,404,146,374,178
WMC_TOTAL,259,398,2130,1718,5258,3182,3123,1792
NSF_AVG,0.312,0.379,0.686,0.284,1.127,0.54,1.409,0.439
NSF_STDDEV,1.102,1.4,2.948,0.592,3.866,1.682,4.291,1.394
NSF_MAX,5,6,28,3,30,20,27,8
NSF_TOTAL,10,11,109,27,186,121,131,29
X1DnP_Cluster_N,10,20,23,60,85,323,76,9
X1DnP_Cluster_Max,6,5,21,20,23,31,9,9
X1DnP_Cluster_Min,0,0,0,0,0,0,0,0
X1DnP_Cluster_StdDev,2.270584849,1.609184167,5.591495519,3.170975362,3.712270516,2.089800774,1.304513084,3.12694384
X1DnP_Cluster_Median,0,0,0,0,0,0,0,0
X1DnP_Cluster_Mean,1.6,0.8,2.086956522,0.75,0.8,0.213622291,0.289473684,1.444444444
X1DnP_Cluster_Threshold,4,1.5,0,0,0,0,0,2
X1PnD_Cluster_N,12,9,36,20,45,51,9,10
X1PnD_Cluster_Max,4,10,6,23,66,99,34,5
X1PnD_Cluster_Min,0,0,0,0,0,0,0,0
X1PnD_Cluster_StdDev,1.658312395,3.48010217,2.00218135,6.659184398,9.859006035,19.74057233,13.40708768,1.779513042
X1PnD_Cluster_Median,0,2,0,3,0,0,5,1
X1PnD_Cluster_Mean,1.25,3.111111111,1.138888889,4.85,2.733333333,6.901960784,10,1.5
X1PnD_Cluster_Threshold,2.75,6,2,3,2,3,20.5,3
WABR_Cluster_N,37,31,95,92,170,210,148,44
WABR_Cluster_Max,2,4,1,60,503,681,28,1
WABR_Cluster_Min,0,0,0,0,0,0,0,0
WABR_Cluster_StdDev,0.363499838,0.749193114,0.144321403,6.727753061,38.57884419,47.19274986,4.135878158,0.150755672
WABR_Cluster_Median,0,0,0,0,0,0,0,0
WABR_Cluster_Mean,0.081081081,0.193548387,0.021052632,1.467391304,3.1,3.728571429,0.709459459,0.022727273
WABR_Cluster_Threshold,0,0,0,1,0,0,0,0
WAB_Cluster_N,41,32,103,102,226,229,163,47
WAB_Cluster_Max,0,3,1,36,105,681,28,1
WAB_Cluster_Min,0,0,0,0,0,0,0,0
WAB_Cluster_StdDev,0,0.592289162,0.138661849,4.328361319,7.074828314,45.07283575,3.774909694,0.145864991
WAB_Cluster_Median,0,0,0,0,0,0,0,0
WAB_Cluster_Mean,0,0.1875,0.019417476,1.088235294,0.64159292,3.257641921,0.539877301,0.021276596
WAB_Cluster_Threshold,0,0,0,1,0,0,0,0
WAWBR_Cluster_N,37,31,95,92,170,210,148,44
WAWBR_Cluster_Max,18,24,9,3346,1842,4490,118,5
WAWBR_Cluster_Min,0,0,0,0,0,0,0,0
WAWBR_Cluster_StdDev,2.958928058,4.310776693,1.588381669,350.5832208,181.7405376,322.9851123,13.04348555,0.753778361
WAWBR_Cluster_Median,0,0,0,0,0,0,0,0
WAWBR_Cluster_Mean,0.540540541,0.870967742,0.421052632,42.59782609,23.06470588,37.86190476,2.601351351,0.113636364
WAWBR_Cluster_Threshold,0,0,0,0,0,0,0,0
WAWB_Cluster_N,41,32,103,102,226,229,163,47
WAWB_Cluster_Max,1,12,6,310,213,1631,64,2
WAWB_Cluster_Min,0,0,0,0,0,0,0,0
