Key,Abbreviated,Format,Control,Multiplier
1DnP,1DnP,,0,1
X1DnP_Cluster_N,X1DnP_N,"""000""",0,1
X1DnP_Cluster_Max,X1DnP_Max,"""%""",0,1
X1DnP_Cluster_Min,X1DnP_Min,,0,1
X1DnP_Cluster_StdDev,X1DnP_StdDev,,0,1
X1DnP_Cluster_Median,X1DnP_Median,,0,1
X1DnP_Cluster_Mean,X1DnP_Mean,,0,1
X1DnP_Cluster_Threshold,X1DnP_Threshold,,0,1
1PnD,1PnD,,0,1
X1PnD_Cluster_N,X1PnD_N,,0,1
X1PnD_Cluster_Max,X1PnD_Max,,0,1
X1PnD_Cluster_Min,X1PnD_Min,,0,1
X1PnD_Cluster_StdDev,X1PnD_StdDev,,0,1
X1PnD_Cluster_Median,X1PnD_Median,,0,1
X1PnD_Cluster_Mean,X1PnD_Mean,,0,1
X1PnD_Cluster_Threshold,X1PnD_Threshold,,0,1
WABR,WABR,,0,1
WABR_Cluster_N,WABR_N,,0,1
WABR_Cluster_Max,WABR_Max,,0,1
WABR_Cluster_Min,WABR_Min,,0,1
WABR_Cluster_StdDev,WABR_StdDev,,0,1
WABR_Cluster_Median,WABR_Median,,0,1
WABR_Cluster_Mean,WABR_Mean,,0,1
WABR_Cluster_Threshold,WABR_Threshold,,0,1
WAB,WAB,,0,1
WAB_Cluster_N,WAB_N,,0,1
WAB_Cluster_Max,WAB_Max,,0,1
WAB_Cluster_Min,WAB_Min,,0,1
WAB_Cluster_StdDev,WAB_StdDev,,0,1
WAB_Cluster_Median,WAB_Median,,0,1
WAB_Cluster_Mean,WAB_Mean,,0,1
WAB_Cluster_Threshold,WAB_Threshold,,0,1
WAWBR,WAWBR,,0,1
WAWBR_Cluster_N,WAWBR_N,,0,1
WAWBR_Cluster_Max,WAWBR_Max,,0,1
WAWBR_Cluster_Min,WAWBR_Min,,0,1
WAWBR_Cluster_StdDev,WAWBR_StdDev,,0,1
WAWBR_Cluster_Median,WAWBR_Median,,0,1
WAWBR_Cluster_Mean,WAWBR_Mean,,0,1
WAWBR_Cluster_Threshold,WAWBR_Threshold,,0,1
WAWB,WAWB,,0,1
WAWB_Cluster_N,WAWB_N,,0,1
WAWB_Cluster_Max,WAWB_Max,,0,1
WAWB_Cluster_Min,WAWB_Min,,0,1
WAWB_Cluster_StdDev,WAWB_StdDev,,0,1
WAWB_Cluster_Median,WAWB_Median,,0,1
WAWB_Cluster_Mean,WAWB_Mean,,0,1
WAWB_Cluster_Threshold,WAWB_Threshold,,0,1
WAIWP,WAIWP,,0,1
WAIWP_Cluster_N,WAIWP_N,,0,1
WAIWP_Cluster_Max,WAIWP_Max,,0,1
WAIWP_Cluster_Min,WAIWP_Min,,0,1
WAIWP_Cluster_StdDev,WAIWP_StdDev,,0,1
WAIWP_Cluster_Median,WAIWP_Median,,0,1
WAIWP_Cluster_Mean,WAIWP_Mean,,0,1
WAIWP_Cluster_Threshold,WAIWP_Threshold,,0,1
All_AllTypes,AllTypes,,0,1
All_InstantiatiableTypes,NumInstantiatiableTypes,,0,1
All_AbstractClasses,NumAbstractClasses,,0,1
All_Interfaces,NumInterfaces,,0,1
All_NumObjects,NumObjects,,0,1
All_NumEdges,NumEdges,,0,1
All_NumPtEdges,All_NumPtEdges,,0,1
InhD_P,InhD_P,,0,1
PO_NAO,PO_NAO,,0,1
PO_N,PO_N,,0,1
PO_P,PO_P,PERCENT,0,1
HMO,HMO,,1,1
HMO_Cluster_N,HMO_N,,1,1
HMO_Cluster_Max,HMO_Max,,1,1
HMO_Cluster_Min,HMO_Min,,1,1
HMO_Cluster_StdDev,HMO_StdDev,,0,1
HMO_Cluster_Median,HMO_Median,,1,1
HMO_Cluster_Mean,HMO_Mean,,1,1
HMO_Cluster_Threshold,HMO_Threshold,,1,1
HMN,HMN,,1,1
HMN_Cluster_N,HMN_N,,1,1
HMN_Cluster_Max,HMN_Max,,1,1
HMN_Cluster_Min,HMN_Min,,1,1
HMN_Cluster_StdDev,HMN_StdDev,,0,1
HMN_Cluster_Median,HMN_Median,,1,1
HMN_Cluster_Mean,HMN_Mean,,1,1
HMN_Cluster_Threshold,HMN_Threshold,,1,1
TMO,TMO,,2,1
TMO_N_N,TMO_N_N,,2,1
TMO_N_Max,TMO_N_Max,,2,1
TMO_N_Min,TMO_N_Min,,1,1
